data,lp,lacznie,przyrost_polska,przyrost_procent,zgony,zdrowych,testy,dolny_slask_przyr,dolny_slask_temp,kuj_pom_przyr,kuj_pom_temp,lubelskie_przyr,lubelskie_temp,lubuskie_przyr,lubuskie_temp,lodzkie_przyr,lodzkie_temp,malopolskie_przyr,malopolskie_temp,mazowieckie_przyr,mazowieckie_temp,opolskie_przyr,opolskie_temp,podkarpackie_przyr,podkarpackie_temp,podlaskie_przyr,podlaskie_temp,pomorskie_przyr,pomorskie_temp,slaskie_przyr,slaskie_temp,swiet_przyr,swiet_temp,warm_przyr,warm_temp,wielkop_przyr,wielkop_temp,zach_przyr,zach_temp
2020-03-04,1,1,1,0,0,0,92,0,4,0,6,0,4,1,5,0,5,0,5,0,6,0,4,0,3,0,7,0,3,0,5,0,5,0,4,0,5,0,6
2020-03-05,2,1,0,0,0,0,179,0,7,0,6,0,5,0,7,0,5,0,6,0,6,0,6,0,4,0,5,0,6,0,7,0,5,0,5,0,7,0,7
2020-03-06,3,5,4,4,0,0,0,1,8,0,5,0,5,0,8,0,6,0,7,0,6,0,6,0,7,0,6,0,4,0,7,0,6,1,4,0,6,2,5
2020-03-07,4,6,1,0.2,0,0,299,0,4,0,5,0,8,0,4,0,4,0,5,0,6,0,4,0,8,0,9,0,5,0,4,0,5,1,6,0,5,0,4
2020-03-08,5,11,5,0.83,0,0,230,1,7,0,7,0,5,0,9,0,5,0,5,2,6,0,4,0,5,0,6,0,6,2,5,0,5,0,5,0,8,0,8
2020-03-09,6,17,6,0.55,0,0,246,1,7,0,6,0,5,0,7,0,7,1,6,0,7,0,7,0,6,0,6,0,7,3,7,0,6,0,5,1,8,0,8
2020-03-10,7,22,5,0.29,0,0,394,1,9,0,9,1,8,0,11,0,9,0,9,1,9,0,9,0,9,0,7,0,9,2,9,0,8,0,8,0,9,0,9
2020-03-11,8,31,9,0.41,1,0,210,0,10,0,9,1,10,0,10,1,9,0,10,1,10,1,10,1,10,0,7,0,6,1,10,0,10,2,7,1,10,0,10
2020-03-12,9,51,20,0.65,2,0,655,3,9,0,8,4,14,0,9,1,8,0,16,2,9,1,10,2,16,0,9,0,5,3,15,0,13,0,7,3,9,1,7
2020-03-13,10,68,17,0.33,3,0,1525,1,8,0,5,1,6,0,6,3,8,0,8,5,6,0,8,3,6,0,6,0,5,1,8,0,7,0,5,1,6,2,6
2020-03-14,11,104,36,0.53,3,0,1079,5,3,0,3,8,0,0,5,10,2,0,3,5,1,2,3,1,2,0,-1,2,0,0,3,2,2,0,-2,1,4,0,5
2020-03-15,12,125,21,0.2,4,0,1206,2,7,0,7,2,3,1,9,4,5,0,5,6,5,0,7,1,2,0,1,0,5,2,6,1,3,1,4,0,8,1,9
2020-03-16,13,177,52,0.42,5,0,1200,12,11,0,11,1,10,0,12,12,10,1,10,13,10,2,10,3,8,0,7,0,7,4,10,0,9,0,9,4,12,0,12
2020-03-17,14,238,61,0.34,5,0,1616,11,14,8,13,4,9,0,14,11,12,3,13,3,11,2,14,0,12,1,7,6,10,6,13,0,12,2,10,2,14,2,12
2020-03-18,15,287,49,0.21,5,0,1681,2,15,0,15,0,14,1,15,0,14,1,14,28,14,1,16,3,13,1,12,1,14,6,15,1,15,4,15,0,15,0,14
2020-03-19,16,355,68,0.24,5,0,1876,13,13,3,9,3,13,6,13,6,13,1,15,16,12,1,14,3,14,1,8,0,7,12,15,1,13,1,7,2,11,1,8
2020-03-20,17,425,70,0.2,5,0,2012,5,8,3,9,3,8,0,7,9,7,7,12,25,9,0,12,2,11,2,8,1,6,4,12,1,9,5,8,3,8,0,6
2020-03-21,18,536,111,0.26,7,0,2523,8,3,4,4,3,4,0,4,34,3,2,3,20,3,0,3,6,4,2,2,4,1,10,3,1,3,3,3,13,4,1,4
2020-03-22,19,634,98,0.18,8,0,2520,13,1,0,2,8,1,2,3,15,0,8,0,20,2,4,-1,4,-2,1,1,3,1,10,0,0,0,2,1,6,2,2,4
2020-03-23,20,749,115,0.18,10,0,2771,22,2,3,3,9,2,5,3,5,2,9,1,28,2,5,1,1,1,1,2,4,0,11,1,1,1,3,3,4,3,4,5
2020-03-24,21,901,152,0.2,13,0,3326,33,3,1,5,6,3,5,5,18,3,16,2,37,4,2,3,7,2,0,4,1,4,10,2,0,2,4,6,1,5,11,6
2020-03-25,22,1051,150,0.17,16,0,3340,16,5,5,7,6,5,2,7,15,5,7,5,39,6,2,4,6,5,3,6,0,5,20,5,6,4,4,7,15,7,4,8
2020-03-26,23,1221,170,0.16,16,0,4503,15,7,4,10,14,10,7,9,14,10,13,10,40,10,3,10,10,10,3,8,6,8,20,10,1,10,6,10,12,9,2,9
2020-03-27,24,1389,168,0.14,18,0,4307,28,13,2,13,4,12,1,13,10,12,24,13,27,12,2,14,8,11,4,11,4,9,14,13,7,12,5,13,21,13,7,12
2020-03-28,25,1638,249,0.18,22,0,4409,21,13,4,14,9,14,2,13,14,14,19,13,103,14,3,14,10,13,9,12,4,8,24,14,5,12,2,15,9,14,11,9
