location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T22:00:00.000Z,2020-04-17T00:00:00+02:00,pm25,5.3,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T21:00:00.000Z,2020-04-16T23:00:00+02:00,pm25,4.2,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T20:00:00.000Z,2020-04-16T22:00:00+02:00,pm25,4.7,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T19:00:00.000Z,2020-04-16T21:00:00+02:00,pm25,6.1,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T18:00:00.000Z,2020-04-16T20:00:00+02:00,pm25,0,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T17:00:00.000Z,2020-04-16T19:00:00+02:00,pm25,2.3,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T16:00:00.000Z,2020-04-16T18:00:00+02:00,pm25,11.6,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T15:00:00.000Z,2020-04-16T17:00:00+02:00,pm25,0,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T13:00:00.000Z,2020-04-16T15:00:00+02:00,pm25,0,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T12:00:00.000Z,2020-04-16T14:00:00+02:00,pm25,13.5,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T11:00:00.000Z,2020-04-16T13:00:00+02:00,pm25,5.5,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T10:00:00.000Z,2020-04-16T12:00:00+02:00,pm25,7.3,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T09:00:00.000Z,2020-04-16T11:00:00+02:00,pm25,7,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T08:00:00.000Z,2020-04-16T10:00:00+02:00,pm25,7.2,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T07:00:00.000Z,2020-04-16T09:00:00+02:00,pm25,9,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T06:00:00.000Z,2020-04-16T08:00:00+02:00,pm25,11.4,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T05:00:00.000Z,2020-04-16T07:00:00+02:00,pm25,9,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T04:00:00.000Z,2020-04-16T06:00:00+02:00,pm25,2.8,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T03:00:00.000Z,2020-04-16T05:00:00+02:00,pm25,3.4,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T02:00:00.000Z,2020-04-16T04:00:00+02:00,pm25,1.6,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T01:00:00.000Z,2020-04-16T03:00:00+02:00,pm25,0,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-16T00:00:00.000Z,2020-04-16T02:00:00+02:00,pm25,0.1,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T23:00:00.000Z,2020-04-16T01:00:00+02:00,pm25,3.5,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T22:00:00.000Z,2020-04-16T00:00:00+02:00,pm25,3.1,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T21:00:00.000Z,2020-04-15T23:00:00+02:00,pm25,3.8,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T20:00:00.000Z,2020-04-15T22:00:00+02:00,pm25,6,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T19:00:00.000Z,2020-04-15T21:00:00+02:00,pm25,4.7,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T18:00:00.000Z,2020-04-15T20:00:00+02:00,pm25,6,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T17:00:00.000Z,2020-04-15T19:00:00+02:00,pm25,7.2,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T16:00:00.000Z,2020-04-15T18:00:00+02:00,pm25,8.7,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T15:00:00.000Z,2020-04-15T17:00:00+02:00,pm25,6.4,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T14:00:00.000Z,2020-04-15T16:00:00+02:00,pm25,4.7,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T13:00:00.000Z,2020-04-15T15:00:00+02:00,pm25,4.5,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T12:00:00.000Z,2020-04-15T14:00:00+02:00,pm25,3.9,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T11:00:00.000Z,2020-04-15T13:00:00+02:00,pm25,10.5,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T10:00:00.000Z,2020-04-15T12:00:00+02:00,pm25,7.5,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T09:00:00.000Z,2020-04-15T11:00:00+02:00,pm25,7.8,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T08:00:00.000Z,2020-04-15T10:00:00+02:00,pm25,11.3,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T07:00:00.000Z,2020-04-15T09:00:00+02:00,pm25,4.3,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T06:00:00.000Z,2020-04-15T08:00:00+02:00,pm25,7.5,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T05:00:00.000Z,2020-04-15T07:00:00+02:00,pm25,15.7,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T04:00:00.000Z,2020-04-15T06:00:00+02:00,pm25,6.4,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T03:00:00.000Z,2020-04-15T05:00:00+02:00,pm25,6.2,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T02:00:00.000Z,2020-04-15T04:00:00+02:00,pm25,4.7,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T01:00:00.000Z,2020-04-15T03:00:00+02:00,pm25,0,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-15T00:00:00.000Z,2020-04-15T02:00:00+02:00,pm25,0.3,µg/m³,54.116056,22.93875,
"Suwalki, ul. Pulaskiego 26",Suwalki,PL,2020-04-14T23:00:00.000Z,2020-04-15T01:00:00+02:00,pm25,3.8,µg/m³,54.116056,22.93875,
