date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-01-01,7,3,0.0,3.0,1,1,26,02:43 AM,12:55 PM,07:46 AM,03:34 PM,1,-1,4,-1,38,79,79,1.7,1012,7,9,257,25
2019-01-02,4,1,0.9,3.0,1,1,19,03:54 AM,01:21 PM,07:46 AM,03:35 PM,-2,-4,2,-4,42,98,74,5.5,1007,4,4,325,29
2019-01-03,-1,-2,0.0,6.8,1,1,11,05:03 AM,01:53 PM,07:45 AM,03:36 PM,-10,-8,-2,-8,34,49,53,1.5,1021,-1,9,352,24
2019-01-04,-1,-5,1.4,3.0,1,1,4,06:07 AM,02:30 PM,07:45 AM,03:37 PM,-5,-8,-3,-8,22,77,82,2.2,1023,-1,7,257,15
2019-01-05,2,-0,7.6,3.0,1,1,0,07:05 AM,03:15 PM,07:45 AM,03:38 PM,-1,-4,0,-4,28,95,90,11.8,1012,2,5,349,18
2019-01-06,-5,-6,0.5,3.0,1,1,0,07:55 AM,04:07 PM,07:45 AM,03:40 PM,-7,-11,-5,-11,21,81,85,0.7,1023,-5,9,12,14
2019-01-07,-4,-8,0.0,8.0,1,1,3,08:36 AM,05:05 PM,07:44 AM,03:41 PM,-8,-10,-7,-10,13,53,89,0.0,1028,-4,8,221,8
2019-01-08,1,-6,1.4,3.0,1,1,10,09:10 AM,06:06 PM,07:44 AM,03:42 PM,-4,-8,-3,-8,29,90,89,3.0,1006,1,6,186,19
2019-01-09,-0,-2,0.6,3.0,1,1,18,09:39 AM,07:11 PM,07:43 AM,03:44 PM,-2,-6,-1,-6,18,100,94,0.9,1003,-0,5,121,13
2019-01-10,-6,-8,0.5,3.0,1,1,25,10:02 AM,08:16 PM,07:43 AM,03:45 PM,-8,-11,-7,-11,11,76,93,0.7,1018,-6,7,53,7
2019-01-11,-4,-12,0.0,4.9,1,1,32,10:22 AM,09:22 PM,07:42 AM,03:47 PM,-8,-11,-8,-11,17,60,92,1.5,1017,-4,9,217,11
2019-01-12,0,-3,2.1,3.0,1,1,39,10:42 AM,10:29 PM,07:41 AM,03:48 PM,-2,-6,-2,-6,25,89,93,2.8,1007,0,8,265,16
2019-01-13,2,1,0.3,3.0,1,1,47,11:00 AM,11:37 PM,07:40 AM,03:50 PM,1,-3,1,-3,29,100,97,3.7,994,2,9,236,18
